Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0102.a4.txt,1564,1113,566,345,10,0,5
0103.a4.txt,997,1190,414,297,11,0,4
0104.a4.txt,1488,1121,650,386,4,0,4
0105.a4.txt,1411,1149,546,728,6,0,2
0106.a4.txt,1378,1065,714,411,7,0,5
0107.a4.txt,1531,1318,659,436,5,0,2
0108.a4.txt,1442,1305,620,392,8,0,2
0109.a4.txt,1667,1139,657,389,3,0,3
0110.a4.txt,1794,1157,613,336,3,0,1
0111.a4.txt,1427,1226,677,391,4,0,5
0112.a4.txt,1432,1184,546,391,1,0,3
0115.a4.txt,1878,851,718,519,3,0,3
0119.a4.txt,1552,1360,471,364,2,0,4
0120.a4.txt,1264,1375,546,334,5,0,4
0121.a4.txt,1391,1086,602,458,9,0,3
0122.a4.txt,1650,1041,609,404,7,0,5
0127.a4.txt,1225,1143,530,648,6,0,5
0128.a4.txt,1828,1103,521,388,3,0,2
0130.a4.txt,1631,995,479,498,8,0,3
0134.a4.txt,1311,1000,774,349,4,0,0
0135.a4.txt,1670,1009,716,575,8,0,2
0136.a4.txt,1350,1130,629,318,9,1,3
0137.a4.txt,1777,993,541,397,5,0,5
0139.a4.txt,1403,837,769,305,6,0,2
0140.a4.txt,1413,1046,550,442,7,0,4
0149.a4.txt,1384,1174,689,330,6,0,5
0156.a4.txt,1254,1278,514,454,3,0,4
0157.a4.txt,1391,1075,717,569,7,0,1
0158.a4.txt,1391,1095,677,566,6,0,1
0159.a4.txt,1563,1068,633,465,7,0,4
0161.a4.txt,1637,1088,735,284,4,0,4
0165.a4.txt,1868,1015,408,399,7,0,2
0168.a4.txt,1500,1025,633,475,14,0,6
0169.a4.txt,1472,1276,720,349,3,0,1
0171.a4.txt,1422,1017,612,346,7,0,3
0175.a4.txt,1555,1075,710,407,7,0,2
0176.a4.txt,1591,993,588,530,10,0,3
0177.a4.txt,1092,1410,739,516,6,0,4
0178.a4.txt,1736,1068,710,451,4,0,3
0179.a4.txt,1751,1048,910,218,10,0,2
0185.a4.txt,1624,1148,703,341,8,0,1
