Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0100.a2.txt,2093,1297,796,355,1,0,2
0101.a2.txt,2059,952,553,721,0,0,0
0102.a2.txt,1830,1136,646,682,0,1,1
0103.a2.txt,1926,1220,1017,395,0,0,1
0104.a2.txt,2075,981,733,335,4,0,1
0105.a2.txt,1753,1258,877,584,0,0,2
0106.a2.txt,1669,1128,732,540,0,1,1
0107.a2.txt,1600,1335,748,541,2,0,3
0109.a2.txt,1601,1194,617,367,2,0,2
0110.a2.txt,2242,1299,573,535,1,1,1
0111.a2.txt,1908,1387,506,679,0,0,0
0112.a2.txt,2197,1022,776,482,0,0,1
0113.a2.txt,1991,1186,794,638,0,0,0
0115.a2.txt,2172,1285,681,643,0,0,1
0118.a2.txt,1757,1437,851,432,1,0,1
0119.a2.txt,1790,1302,676,413,0,0,0
0120.a2.txt,1879,1210,759,541,0,3,0
0121.a2.txt,2037,768,745,419,2,3,1
0122.a2.txt,1850,1071,723,473,1,0,4
0125.a2.txt,1797,1159,1159,420,0,0,1
0127.a2.txt,1991,1157,835,717,1,1,1
0128.a2.txt,1838,1007,749,562,2,0,1
0130.a2.txt,1800,1002,636,506,4,2,0
0131.a2.txt,2237,1174,593,569,0,0,1
0133.a2.txt,1799,997,948,518,0,0,1
0134.a2.txt,1767,822,945,736,0,0,0
0135.a2.txt,1837,1023,884,512,1,0,3
0136.a2.txt,1995,1182,862,308,0,0,0
0137.a2.txt,1684,1222,593,593,0,0,1
0138.a2.txt,1853,1261,734,450,0,0,1
0139.a2.txt,1788,1196,739,578,0,0,0
0140.a2.txt,1770,1150,824,448,0,0,0
0142.a2.txt,2281,1135,811,382,0,0,0
0143.a2.txt,1970,1136,920,422,0,0,0
0146.a2.txt,1589,1430,678,498,0,0,0
0148.a2.txt,1937,1109,525,432,0,5,4
0149.a2.txt,1984,1242,647,708,0,0,4
0150.a2.txt,1627,1391,643,459,0,0,0
0155.a2.txt,2033,1266,1138,665,0,0,1
0156.a2.txt,1782,1075,693,509,1,0,0
0157.a2.txt,1169,1422,506,590,0,0,2
0158.a2.txt,1677,1268,563,717,0,0,0
0159.a2.txt,1803,1058,829,745,0,0,0
0161.a2.txt,2108,1136,679,527,0,1,5
0162.a2.txt,2000,1221,714,364,0,0,0
0163.a2.txt,1677,968,942,735,0,0,0
0165.a2.txt,2014,978,777,475,2,1,1
0167.a2.txt,1757,942,833,607,0,0,1
0168.a2.txt,2293,1284,790,438,2,3,0
0169.a2.txt,1827,1133,1245,531,1,0,1
0171.a2.txt,1816,1057,796,460,0,0,1
0172.a2.txt,2118,1111,627,497,2,0,0
0173.a2.txt,2175,829,1185,472,4,0,1
0174.a2.txt,2253,1155,908,258,0,0,2
0175.a2.txt,1795,1372,628,436,0,0,1
0176.a2.txt,2152,936,735,428,0,0,0
0177.a2.txt,1503,994,836,576,0,1,1
0178.a2.txt,1948,1119,949,699,1,0,0
0179.a2.txt,1984,1204,992,397,0,0,0
0180.a2.txt,1989,1178,644,611,1,0,0
0182.a2.txt,1647,982,849,458,3,1,7
0185.a2.txt,1733,1131,590,445,0,1,0
0186.a2.txt,1627,1317,634,646,0,0,0
0187.a2.txt,1786,1057,936,389,3,0,0
0188.a2.txt,1592,1061,861,448,1,0,1
0189.a2.txt,1704,892,756,440,1,1,1
0190.a2.txt,1239,1353,531,657,0,0,0
0191.a2.txt,1809,1286,660,489,0,0,4
0192.a2.txt,1911,1184,551,633,1,0,1
0193.a2.txt,2141,1218,845,417,0,1,4
0194.a2.txt,1901,1143,919,373,0,0,2
0195.a2.txt,1250,1068,570,485,1,4,5
0196.a2.txt,1989,1257,743,320,0,0,0
0197.a2.txt,1836,950,757,603,1,0,0
0198.a2.txt,1853,1020,790,359,1,0,0
0199.a2.txt,1918,1101,879,359,0,0,0
0200.a2.txt,1636,1316,698,561,0,1,3
0201.a2.txt,1450,834,752,328,0,0,6
0202.a2.txt,2103,1369,782,342,0,0,1
0203.a2.txt,1717,936,1032,588,0,0,1
0204.a2.txt,1934,1111,649,447,0,1,1
0205.a2.txt,1994,1028,822,452,3,0,4
0206.a2.txt,1851,1067,707,553,1,1,0
0207.a2.txt,1823,1260,710,483,0,0,0
0208.a2.txt,1680,1315,740,557,5,0,0
0209.a2.txt,2306,888,752,271,2,0,0
0213.a2.txt,1752,1442,870,548,0,0,1
0214.a2.txt,1911,961,870,595,1,1,1
0215.a2.txt,1648,1411,961,462,0,0,0
0216.a2.txt,1636,1121,938,263,0,0,1
0218.a2.txt,2266,1170,714,333,0,0,0
0219.a2.txt,1539,1277,609,644,0,0,0
0221.a2.txt,2136,1041,507,320,0,0,2
0222.a2.txt,1933,1165,615,397,2,6,2
0223.a2.txt,1921,1018,976,260,0,2,3
0224.a2.txt,1725,1096,455,361,4,0,1
0226.a2.txt,1827,1117,812,571,0,0,0
0227.a2.txt,1869,901,968,541,0,1,0
0231.a2.txt,2073,1134,561,424,1,0,1
0232.a2.txt,1576,1261,706,719,0,0,0
